[2017-05-18 10:12:32] Initializing upgrade...
[2017-05-18 10:12:38] Testing DB connection.
[2017-05-18 10:12:38] Removing obsolete files...
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.ApplicationDashboard.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.ApplicationDashboard.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.CKEditor.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.CKEditor.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.Controls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.Controls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.PortalControls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.PortalControls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.CMSSiteMapProvider.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.CMSSiteMapProvider.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.EcommerceProvider.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.EcommerceProvider.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.ExtendedControls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.ExtendedControls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.FormControls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.FormControls.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\Kentico.Google.Apis.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\Kentico.Google.Apis.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.Notifications.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.Notifications.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.SocialMedia.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\bin\CMS.SocialMedia.dll
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\Lib\CMS.Synchronization.Web.dll
